feature,importance
network_avg_lf,0.5454510462432198
revenue_per_seat,0.2230087067139266
lf_mom_change,0.08315504794356954
lf_lag_1m,0.05218887175452041
lf_yoy_change,0.05147330018594142
lf_lag_12m,0.025574873502904008
avg_ticket_price,0.009319373171468954
price_vs_network_avg,0.006345713289399356
lf_rolling_mean_12m,0.003086700879735527
seasonality_index,0.00016090788283367483
lf_rolling_std_3m,6.867076844636973e-05
network_avg_price,5.0158654807133615e-05
is_covid_period,1.3422965195716074e-05
month_cos,1.1785961880363999e-05
covid_impact_factor,1.0144235420104389e-05
lf_rolling_std_6m,9.903044690638124e-06
month,9.675792466398162e-06
lf_lag_6m,7.627087728525146e-06
lf_rolling_mean_6m,7.397597945268487e-06
lf_lag_3m,6.318667692533435e-06
lf_rolling_mean_3m,4.177559071014346e-06
dest_encoded,3.7162496621762845e-06
is_peak_travel,3.556036222360283e-06
lf_lag_2m,2.9197802781792044e-06
seats,2.2777144911400615e-06
year,2.215442270579296e-06
route_avg_price,2.0719056388378477e-06
recovery_phase,2.028999419081371e-06
route_avg_lf,1.8901213806082027e-06
dow_cos,1.7326240960418406e-06
quarter,1.5473969003303388e-06
route_encoded,1.4983941651204174e-06
route_avg_distance,1.1720951520830467e-06
yield_metric,1.0829284431025096e-06
origin_avg_lf,9.51021730430071e-07
distance,9.41486472766383e-07
month_sin,9.11638211299495e-07
price_per_mile,8.634871646205202e-07
route_popularity_rank,7.122263338048095e-07
is_spring,5.816643958669657e-07
dow_sin,5.111022792397538e-07
route_std_lf,4.982645150026057e-07
day_of_week,4.655944163037078e-07
hub_to_spoke,4.632715316904811e-07
route_lf_cv,3.8971953588243647e-07
is_fall,2.84728291788332e-07
dest_hub_tier,1.8212895663207208e-07
origin_encoded,1.2583326793729844e-07
is_weekend,1.244151358728132e-07
origin_hub_tier,1.2025317849399077e-07
is_winter,8.899586354428315e-08
is_friday,7.173312006411944e-08
origin_n_routes,6.336371210962973e-08
is_monday,5.330253968115847e-08
weather_encoded,3.9702286486635244e-08
is_post_covid,2.2476077334819286e-08
route_max_lf,0.0
is_thanksgiving,0.0
is_xmas_newyear,0.0
is_summer,0.0
is_medium_haul,0.0
is_short_haul,0.0
is_long_haul,0.0
is_july4,0.0
is_holiday_period,0.0
hub_to_hub,0.0
is_atl_flight,0.0
