feature,importance
lf_mom_change,4495
lf_lag_1m,3794
lf_yoy_change,3531
lf_lag_12m,2892
network_avg_lf,2220
revenue_per_seat,1690
avg_ticket_price,1490
price_vs_network_avg,851
lf_rolling_mean_12m,748
lf_rolling_std_3m,660
lf_rolling_mean_6m,619
lf_lag_6m,606
lf_rolling_std_6m,598
lf_lag_3m,574
lf_lag_2m,541
lf_rolling_mean_3m,504
price_per_mile,472
network_avg_price,430
seats,351
month,221
day_of_week,221
route_avg_lf,219
route_encoded,212
route_std_lf,172
dow_cos,168
year,165
route_popularity_rank,163
seasonality_index,159
month_sin,159
month_cos,151
dest_encoded,145
distance,144
dow_sin,122
yield_metric,112
route_lf_cv,108
weather_encoded,101
origin_avg_lf,61
route_avg_price,40
dest_hub_tier,31
hub_to_spoke,30
is_peak_travel,28
is_spring,23
origin_n_routes,23
quarter,21
recovery_phase,16
is_fall,16
origin_encoded,14
is_winter,14
is_summer,12
is_covid_period,12
covid_impact_factor,9
origin_hub_tier,7
route_avg_distance,7
is_holiday_period,6
is_post_covid,6
is_xmas_newyear,4
is_weekend,3
is_thanksgiving,3
is_friday,2
is_july4,2
is_medium_haul,2
is_atl_flight,1
is_monday,1
route_max_lf,0
is_short_haul,0
is_long_haul,0
hub_to_hub,0
