feature,importance
network_avg_lf,0.4273362
revenue_per_seat,0.22559153
network_avg_price,0.10982529
lf_rolling_mean_12m,0.055750906
lf_mom_change,0.04071718
lf_yoy_change,0.03029415
lf_lag_1m,0.024489494
lf_lag_12m,0.01976219
price_vs_network_avg,0.014998629
avg_ticket_price,0.012577837
year,0.009623967
lf_rolling_mean_3m,0.0068877456
is_peak_travel,0.006592417
month,0.0049456432
month_cos,0.0022703726
is_summer,0.0019657568
month_sin,0.0013102021
covid_impact_factor,0.0010072328
lf_rolling_mean_6m,0.0006640351
lf_rolling_std_3m,0.000291198
recovery_phase,0.0002709138
seasonality_index,0.00025613845
is_covid_period,0.00020159343
lf_lag_2m,0.00019759966
lf_lag_3m,0.00018202137
is_holiday_period,0.00015749114
lf_rolling_std_6m,0.00010680919
distance,0.0001047061
route_encoded,0.000103629354
is_spring,0.000101590165
route_popularity_rank,7.638429e-05
lf_lag_6m,7.4588665e-05
dest_hub_tier,6.591936e-05
route_lf_cv,5.8704238e-05
dest_encoded,5.8388887e-05
is_post_covid,5.6405086e-05
price_per_mile,5.4557528e-05
is_winter,5.1887742e-05
route_std_lf,5.158978e-05
quarter,5.0167782e-05
route_avg_lf,4.9954197e-05
yield_metric,4.8800855e-05
is_fall,4.682039e-05
seats,4.6742716e-05
weather_encoded,4.4740125e-05
hub_to_spoke,4.3221207e-05
hub_to_hub,4.1017858e-05
origin_hub_tier,3.8608694e-05
is_xmas_newyear,3.775569e-05
day_of_week,3.7610705e-05
origin_avg_lf,3.5997145e-05
is_friday,3.2747063e-05
route_avg_price,3.245921e-05
dow_cos,3.186087e-05
is_weekend,3.1742387e-05
origin_n_routes,3.128106e-05
is_medium_haul,3.086579e-05
route_avg_distance,2.9066203e-05
dow_sin,2.8959284e-05
is_thanksgiving,2.655502e-05
origin_encoded,2.5808922e-05
is_monday,1.7142662e-05
is_july4,1.5093373e-05
is_atl_flight,1.2045384e-05
route_max_lf,0.0
is_long_haul,0.0
is_short_haul,0.0
